	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_141	0.011288	0.0	0.221629	0.003346	0.089987	0.009623	0.008039	0.087658	0.064132	0.078152	0.120758	0.305387	
Sample_142	0.006822	0.001207	0.182661	0.001163	0.169575	0.039172	0.015779	0.22287	0.055665	0.045423	0.087385	0.172277	
Sample_143	0.001871	0.030473	0.000156	0.025672	0.031367	0.066251	1e-06	0.226243	0.051679	0.223852	0.051731	0.290705	
Sample_144	0.008831	1e-06	0.028985	3e-06	0.051497	0.045807	0.048959	0.194997	0.023861	0.173327	0.077461	0.34627	
Sample_145	0.02368	0.034513	0.000133	3e-06	0.054632	0.117902	0.020766	0.136827	0.016091	0.193912	0.114199	0.287341	
Sample_146	0.030151	0.018386	0.052447	0.024572	0.031689	0.042231	0.0	0.081777	0.020691	0.190187	0.056952	0.450917	
Sample_147	0.02112	0.022244	0.053085	4e-06	0.023225	0.057929	0.0	0.096528	0.031689	0.183309	0.147311	0.363555	
Sample_148	0.047231	2e-06	0.040465	0.029907	0.000358	0.024813	0.084162	0.078688	0.06148	0.370848	0.116723	0.145323	
Sample_149	0.004943	1e-06	0.098678	3e-06	0.043688	0.070695	0.055792	0.060827	0.046398	0.404974	0.062033	0.151968	
Sample_150	0.009955	0.00953	0.085037	0.064175	0.053224	2.4e-05	0.011521	0.043705	0.07503	0.376696	0.164168	0.106934	
Sample_151	0.079842	0.010301	0.000218	4e-06	0.062987	2.4e-05	1e-06	0.118871	0.107663	0.407405	0.08847	0.124215	
Sample_152	0.087637	1e-06	0.000128	0.006295	0.034518	1.1e-05	0.014957	0.096986	0.099669	0.434619	0.117571	0.107609	
Sample_153	0.089031	1e-06	0.000145	0.023908	0.043232	0.126684	0.0	0.054273	0.020376	0.335484	0.161839	0.145026	
Sample_154	0.004435	1e-06	0.039935	1e-06	0.057342	7e-06	0.004708	0.239344	0.04127	0.56426	0.045503	0.003194	
Sample_155	0.006637	1e-06	0.037061	1e-06	0.051221	8e-06	0.011758	0.212612	0.04157	0.560883	0.057682	0.020567	
Sample_156	0.009324	0.007769	0.017326	1e-06	0.057734	8e-06	0.0	0.222111	0.041268	0.599215	0.034048	0.011197	
Sample_157	0.007346	0.007622	0.017953	1e-06	0.065644	8e-06	0.0	0.220886	0.040235	0.600023	0.030033	0.01025	
Sample_158	0.034757	0.007111	0.004538	0.010251	0.027392	0.004712	0.011369	0.21331	0.156158	0.256053	0.053596	0.220752	
Sample_159	0.063027	0.006032	0.024089	0.024981	0.04707	0.009795	0.001712	0.205651	0.149828	0.234443	0.055169	0.178203	
Sample_160	0.046708	1e-06	0.000355	5e-06	0.054734	3.5e-05	1e-06	0.243959	0.100013	0.269157	0.089841	0.195191	
Sample_161	0.020024	0.016069	0.004408	2e-06	0.031677	0.032117	1e-06	0.168733	0.185125	0.237097	0.131675	0.173073	
Sample_162	0.008133	1e-06	0.000221	2e-06	0.066101	0.03008	0.0	0.16627	0.190436	0.337303	0.063004	0.138449	
Sample_163	0.004257	0.021901	0.000264	0.025778	0.013175	0.020762	0.0	0.13603	0.174046	0.322035	0.10858	0.17317	
Sample_164	0.013351	0.01449	0.000202	3e-06	0.000273	0.011451	1e-06	0.244707	0.149691	0.340671	0.100181	0.12498	
