	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_70	0.00188	0.029515	0.065124	0.015617	0.012224	0.056576	0.0976	0.041596	0.01421	0.072906	0.00282	0.003759	0.145834	0.005531	0.029247	0.038064	0.020079	0.001934	0.017429	0.041298	0.073245	0.003282	0.008261	0.018528	0.157773	0.01529	0.010378	
Sample_71	0.006821	0.031711	0.063728	0.005381	0.009937	0.054261	0.081045	0.052033	0.012901	0.057373	0.0	0.00111	0.163622	0.009489	0.0307	0.048008	0.008123	0.008882	0.004357	0.033473	0.075903	0.005391	0.00936	0.017775	0.181059	0.007783	0.019774	
Sample_72	0.006227	0.001456	0.08044	0.007498	0.018275	0.042626	0.093537	0.070413	0.022703	0.071868	0.004359	0.008434	0.112067	0.026993	0.01047	0.020052	0.012735	0.013669	0.018836	0.014058	0.089949	0.004496	0.004006	0.025078	0.174874	0.028271	0.016612	
Sample_73	0.004016	0.00021	0.073601	0.018831	0.019488	0.048637	0.075019	0.062519	0.026614	0.063707	0.005737	0.007077	0.12594	0.01834	0.020381	0.016198	0.021754	0.003291	0.014004	0.021162	0.096472	0.00465	0.007396	0.042828	0.173931	0.020203	0.007993	
Sample_74	0.010269	0.004037	0.077509	0.008389	0.013502	0.053225	0.069266	0.048996	0.012951	0.070156	0.003667	0.00741	0.108714	0.060783	0.014408	0.022696	0.017672	0.007313	0.008543	0.016542	0.075481	0.010212	0.011992	0.053268	0.169373	0.027923	0.015703	
Sample_75	0.009788	0.021071	0.07189	0.006887	0.015347	0.051685	0.06672	0.052236	0.016103	0.061622	0.002097	0.007212	0.104354	0.054954	0.022721	0.028902	0.021618	0.013683	0.011457	0.019107	0.073819	0.007988	0.010239	0.039251	0.170809	0.031511	0.006928	
Sample_76	0.012863	0.004159	0.065573	0.00689	0.015311	0.057614	0.061084	0.052545	0.01608	0.060783	0.001979	0.010208	0.105944	0.043315	0.022993	0.024318	0.015512	0.009314	0.00907	0.017241	0.086563	0.007643	0.020748	0.05383	0.165856	0.039967	0.012595	
Sample_77	0.0	0.011569	0.067845	0.012136	0.009197	0.051293	0.070475	0.02965	0.035141	0.074928	0.004376	0.0	0.109992	0.036132	0.019116	0.019815	0.026957	0.008103	0.022097	0.060164	0.064715	0.022019	0.005324	0.034969	0.167179	0.014288	0.022517	
Sample_78	0.0	0.009701	0.062453	0.018587	0.008747	0.042514	0.058691	0.028242	0.03917	0.092581	0.00625	0.00625	0.10056	0.02362	0.019827	0.023049	0.033603	0.008448	0.021454	0.057282	0.065825	0.013998	0.002568	0.037698	0.16046	0.036368	0.022055	
Sample_79	0.005882	0.016936	0.065002	0.016354	0.01779	0.052339	0.059372	0.040751	0.013547	0.075913	0.003361	0.011613	0.110825	0.002643	0.049942	0.041104	0.028138	0.006619	0.029117	0.024953	0.059785	0.004578	0.00101	0.049027	0.180377	0.012774	0.020247	
Sample_80	0.0	0.000508	0.039687	0.00731	0.023333	0.034072	0.06178	0.095901	0.016337	0.068912	0.001667	0.013248	0.102539	0.00174	0.028058	0.013519	0.032451	0.005444	0.032384	0.03238	0.140684	0.002055	0.001919	0.019113	0.196944	0.011153	0.016862	
Sample_81	0.002294	0.000475	0.057016	0.007829	0.03133	0.037455	0.066524	0.11057	0.02052	0.062317	0.002294	0.018291	0.090018	0.019233	0.009627	0.016166	0.022006	0.004409	0.013243	0.03046	0.127659	0.013489	0.008421	0.039741	0.178778	0.004713	0.005122	
Sample_82	0.0	0.005613	0.057381	0.006839	0.036765	0.024827	0.070977	0.110363	0.021992	0.04712	0.0	0.010399	0.085465	0.030771	0.018856	0.030092	0.027626	0.005466	0.014199	0.019546	0.105103	0.002871	0.000108	0.026022	0.19066	0.027858	0.023081	
Sample_83	0.001534	0.001584	0.062057	0.009351	0.008984	0.028263	0.069254	0.159247	0.00666	0.0548	0.006135	0.003067	0.100437	0.001698	0.00395	0.015452	0.012774	0.006053	0.004913	0.012652	0.153595	0.004968	7.5e-05	0.009287	0.253204	0.00413	0.005876	
Sample_84	0.002627	0.002016	0.070727	0.003377	0.028589	0.026195	0.08231	0.153569	0.008495	0.056349	0.000328	0.002436	0.062479	0.000565	0.006764	0.02082	0.004567	0.000802	0.007474	0.021879	0.160852	0.0033	0.000897	0.006561	0.256943	0.002396	0.006685	
Sample_85	0.001362	0.00468	0.057957	0.002971	0.01212	0.036205	0.071653	0.144188	0.009342	0.065546	0.004087	0.003983	0.080941	0.006353	0.003487	0.030311	0.026072	0.002076	0.002874	0.01957	0.150192	0.007406	0.004133	0.0018	0.215045	0.005261	0.030384	
Sample_86	0.0	0.000534	0.067445	0.000363	0.016772	0.023019	0.087373	0.119446	0.00928	0.060055	0.006122	0.011858	0.045186	0.004508	0.008807	0.026694	0.01805	0.003668	0.007195	0.031316	0.138226	0.015735	0.004708	0.035674	0.213246	0.012812	0.031909	
Sample_87	0.002625	0.003369	0.081484	3.6e-05	0.016413	0.032223	0.077992	0.098115	0.014899	0.085392	0.00175	0.004246	0.10556	0.0018	0.003452	0.023901	0.012999	0.011116	0.013659	0.032249	0.11597	0.01383	6.6e-05	0.00598	0.218607	0.014368	0.007899	
Sample_88	0.001827	0.002307	0.084603	0.003899	0.016604	0.033631	0.077816	0.095494	0.008762	0.077352	0.001461	0.004295	0.104269	0.001577	0.011783	0.026582	0.014672	0.009537	0.020428	0.027331	0.118717	0.001694	0.002871	0.004426	0.225192	0.003594	0.019274	
Sample_89	0.001527	0.001081	0.087323	0.006492	0.017625	0.040195	0.06807	0.096615	0.011868	0.079915	0.001145	0.006705	0.098885	0.005692	0.006464	0.025475	0.023521	0.005297	0.012991	0.016053	0.124984	0.006346	0.001743	0.006325	0.222715	0.014867	0.010082	
Sample_90	0.002425	0.000356	0.086235	0.001497	0.019643	0.028952	0.090256	0.099785	0.012349	0.07375	0.001617	0.006224	0.093354	0.001295	0.009593	0.023756	0.024862	0.005974	0.006347	0.020726	0.120197	0.004733	0.005454	0.004583	0.221068	0.021101	0.013868	
Sample_91	0.002653	0.000642	0.081075	0.002945	0.018953	0.024462	0.085823	0.107728	0.007675	0.077978	0.002653	0.01061	0.099995	0.002653	0.015193	0.020162	0.015118	0.005024	0.004104	0.02311	0.114408	0.003497	0.004236	0.010787	0.215694	0.019143	0.023679	
