	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_126	0.009105	0.158884	0.013258	0.152289	0.037066	3e-06	0.154739	0.002675	0.082687	0.065526	0.017309	0.026923	0.279535	
Sample_127	0.029231	0.159722	0.01956	0.134639	0.024202	0.00244	0.166456	0.009742	0.05981	0.06452	0.017998	0.06849	0.243189	
Sample_128	0.010795	0.120493	0.038413	0.163283	0.047254	1.6e-05	0.183209	0.008148	0.078409	0.049841	0.018281	0.043577	0.238278	
Sample_129	0.034616	0.219933	0.022955	0.08349	0.053002	0.009285	0.121908	0.014086	0.121581	0.037479	0.012941	0.036213	0.23251	
Sample_130	0.011242	0.199679	0.02959	0.066223	0.02339	0.04301	0.145448	0.008383	0.06093	0.045354	0.061187	0.079903	0.225662	
Sample_131	0.005802	0.191134	0.035074	0.055761	0.03202	0.0035	0.145327	0.007015	0.051025	0.107053	0.041155	0.086855	0.238277	
Sample_132	0.008206	0.282158	0.020148	0.082963	0.047262	0.006603	0.151465	0.008482	0.023626	0.071125	0.030394	0.016022	0.251545	
Sample_133	0.018555	0.144368	0.054267	0.071718	0.060656	1.6e-05	0.176395	0.02753	0.113677	0.052982	0.064606	0.032652	0.182579	
Sample_134	0.002815	0.122431	0.018673	0.068688	0.009286	1.3e-05	0.222019	0.002592	0.147421	0.065765	0.052688	0.029351	0.258257	
Sample_135	0.047891	0.168882	0.004254	0.037065	0.009321	7e-06	0.261675	0.011089	0.115194	0.056039	0.062171	0.036041	0.19037	
Sample_136	0.012585	0.099109	0.001824	0.12303	0.031109	0.005656	0.21397	0.014542	0.125821	0.13906	0.020767	0.030334	0.182193	
Sample_137	0.017316	0.08187	0.009527	0.097029	0.017332	0.001565	0.275612	0.006744	0.134993	0.106407	0.034269	0.013813	0.203521	
Sample_138	0.003787	0.170832	0.011509	0.106043	0.008775	3e-06	0.232769	6.6e-05	0.098991	0.12516	0.017385	0.019356	0.205325	
Sample_139	0.007916	0.148745	0.009661	0.067508	0.041785	8e-06	0.236279	0.003698	0.074943	0.111449	0.037583	0.040054	0.220371	
Sample_140	0.002191	0.159548	0.034801	0.094887	0.010802	1.7e-05	0.225566	0.006866	0.038603	0.140755	0.042154	0.020685	0.223125	
Sample_141	0.032411	0.187875	0.006772	0.063743	0.042789	1.3e-05	0.17802	0.101574	0.056408	0.082817	0.023604	0.071928	0.152046	
Sample_142	0.001815	0.152278	0.009233	0.133346	0.022858	1e-05	0.188485	0.100511	0.027205	0.124986	0.005665	0.027608	0.205999	
Sample_143	0.004678	0.144651	0.017985	0.076739	0.064238	2.6e-05	0.255017	0.011288	0.106632	0.035111	0.029332	0.133787	0.120517	
Sample_144	0.010619	0.144306	0.02168	0.103049	0.027177	0.029657	0.241744	0.000529	0.091359	0.079522	0.030655	0.113516	0.106186	
Sample_145	0.006974	0.159747	0.035607	0.120752	0.072228	2.4e-05	0.244472	0.006166	0.017594	0.083781	0.026937	0.108327	0.117392	
Sample_146	0.044997	0.161974	0.031703	0.11965	0.035301	2.6e-05	0.172454	0.025703	0.096603	0.022631	0.042576	0.154133	0.09225	
Sample_147	0.01505	0.108745	0.024967	0.219957	0.045822	3.2e-05	0.26905	0.007413	0.09606	0.055104	0.014967	0.060792	0.082041	
Sample_148	0.026087	0.126726	0.022093	0.180919	0.039249	0.001299	0.231362	0.010473	0.092766	0.089771	0.020721	0.075565	0.082969	
Sample_149	0.004663	0.107759	0.009096	0.174356	0.032439	1.1e-05	0.306951	0.020191	0.140215	0.044878	0.029162	0.046297	0.083981	
Sample_150	0.020419	0.113093	0.024896	0.135935	0.075259	1.3e-05	0.220837	0.008283	0.127398	0.056512	0.014535	0.052944	0.149875	
Sample_151	0.018235	0.14635	0.016839	0.133862	0.052113	1.8e-05	0.189535	0.004928	0.121741	0.071632	0.032219	0.060054	0.152474	
Sample_152	0.016785	0.111923	0.022371	0.146647	0.033738	2.7e-05	0.214417	0.017986	0.130097	0.044364	0.048277	0.075174	0.138195	
Sample_153	0.050631	0.105033	0.030541	0.117237	0.033596	3.1e-05	0.19741	0.018224	0.118128	0.07231	0.037804	0.100635	0.118419	
Sample_154	0.006987	0.160024	0.0117	0.167358	0.020381	0.018002	0.208728	0.006448	0.110461	0.104576	0.022351	0.025076	0.137907	
Sample_155	0.012052	0.149513	0.014739	0.138996	0.032165	0.008488	0.210855	0.007821	0.107812	0.118899	0.03593	0.026712	0.13602	
Sample_156	0.021336	0.187427	0.010967	0.139388	0.021639	4e-06	0.1849	0.005515	0.135112	0.124077	0.028988	0.014294	0.126353	
Sample_157	0.013706	0.161115	0.016177	0.105461	0.027444	0.000463	0.203834	0.005687	0.173259	0.135393	0.02965	0.023699	0.104113	
Sample_158	0.013044	0.236935	0.01473	0.120322	0.024845	3e-06	0.202567	0.003709	0.084613	0.154389	0.02843	0.02916	0.087253	
Sample_159	0.009062	0.084337	0.021209	0.14976	0.027141	2.4e-05	0.287072	0.039022	0.05228	0.163669	0.026808	0.055702	0.083914	
Sample_160	0.009085	0.108035	0.023893	0.138957	0.036212	9e-06	0.269622	0.011425	0.06673	0.135724	0.032602	0.047591	0.120115	
Sample_161	0.016997	0.094147	0.036491	0.206313	0.060897	1.3e-05	0.258045	0.01761	0.025833	0.100462	0.032312	0.024568	0.126312	
Sample_162	0.007415	0.231402	0.027686	0.151903	0.010372	0.012408	0.205556	0.010031	0.081283	0.072092	0.017938	0.053227	0.118687	
Sample_163	0.008168	0.222338	0.014033	0.166405	0.021719	0.014397	0.191903	0.007619	0.083896	0.076173	0.062173	0.022401	0.108774	
Sample_164	0.002789	0.253797	0.010106	0.162459	0.057551	0.021421	0.197073	0.003972	0.046182	0.064225	0.024463	0.032241	0.123722	
Sample_165	0.003534	0.235582	0.014828	0.18839	0.029969	0.038047	0.217468	0.003044	0.051765	0.062641	0.013241	0.00586	0.135629	
Sample_166	0.045419	0.226834	0.008778	0.133117	0.033909	0.074357	0.195141	0.005208	0.07352	0.059816	0.029513	0.024966	0.089421	
Sample_167	0.042874	0.242861	0.008098	0.134764	0.037184	0.045093	0.204923	0.003408	0.082047	0.061333	0.025698	0.023147	0.088571	
Sample_168	0.003275	0.246131	0.001505	0.138747	0.022546	0.067155	0.232533	0.000369	0.088812	0.09651	0.001192	0.023805	0.07742	
Sample_169	0.006648	0.267471	0.007484	0.151537	0.034323	0.008414	0.281682	0.004243	0.045266	0.031872	0.012229	0.023687	0.125143	
Sample_170	0.016392	0.241748	0.029542	0.155887	0.016663	0.001744	0.275093	0.003651	0.064117	0.042899	0.007797	0.038952	0.105515	
Sample_171	0.011749	0.23174	0.009349	0.143782	0.010946	0.00655	0.249533	0.002706	0.065781	0.029362	0.024873	0.077261	0.136368	
Sample_172	0.019357	0.197149	0.002545	0.195577	0.058864	3.2e-05	0.237696	0.002841	0.043145	0.030827	0.012085	0.063699	0.136184	
Sample_173	0.013519	0.205275	0.015601	0.172268	0.020065	0.004993	0.189363	0.010948	0.122169	0.037479	0.050196	0.035995	0.122129	
Sample_174	0.012704	0.229541	0.005523	0.16028	0.055839	0.001012	0.158201	0.005577	0.111281	0.066277	0.025003	0.043004	0.125758	
Sample_175	0.008283	0.211938	0.023339	0.151842	0.035231	0.003913	0.139062	0.034469	0.14407	0.038754	0.034685	0.063118	0.111295	
Sample_176	0.007113	0.190607	0.006988	0.132107	0.075092	0.001544	0.197608	0.019157	0.133084	0.072647	0.047949	0.013223	0.10288	
Sample_177	0.015074	0.167936	0.02753	0.20637	0.007924	2.1e-05	0.183028	0.015145	0.051376	0.062678	0.024513	0.033046	0.20536	
Sample_178	0.006171	0.154464	0.00857	0.175132	0.032574	1e-05	0.197812	0.018716	0.070711	0.078903	0.029134	0.029554	0.198248	
Sample_179	0.006552	0.170743	0.012115	0.204347	0.007756	2e-06	0.235649	0.002376	0.041047	0.083612	0.010854	0.011913	0.213033	
