	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_104	0.02723	0.237102	0.351331	0.009669	0.005296	0.017436	6.8e-05	0.08271	0.027721	0.008748	0.232689	
Sample_105	0.033299	0.233426	0.314777	0.008545	0.013423	0.020022	0.028139	0.080499	0.021108	0.024893	0.22187	
Sample_106	0.01802	0.249092	0.288654	0.00965	0.008868	0.010457	0.003911	0.095315	0.006158	0.031983	0.277892	
Sample_107	0.065751	0.162533	0.312364	0.011248	0.009692	0.017745	0.002897	0.144305	0.006882	0.017686	0.248899	
Sample_108	0.022882	0.271941	0.39299	0.007896	0.017013	0.00415	0.015017	0.042832	0.006103	0.044845	0.174331	
Sample_109	0.050458	0.21619	0.409462	0.02778	0.006578	0.009128	0.002153	0.055781	0.015278	0.015041	0.192151	
Sample_110	0.060267	0.370566	0.353817	0.002718	0.004199	0.016809	0.000364	0.031277	0.008525	0.008228	0.14323	
Sample_111	0.057905	0.325786	0.259815	0.002445	0.003628	0.016435	0.018477	0.095012	0.002607	0.010102	0.207787	
Sample_112	0.032634	0.000134	0.022489	0.004501	0.01477	0.000284	0.82947	0.063198	4.7e-05	0.023352	0.009121	
Sample_113	0.004544	0.002995	0.001662	0.00257	4.3e-05	0.982277	1.4e-05	0.000178	0.002348	0.002293	0.001076	
